Pincode,Delivery,COD
110001,Y,Y
110002,Y,Y
110003,Y,Y
110004,Y,Y
110005,Y,Y
110006,Y,Y
110007,Y,Y
110008,Y,Y
110009,Y,Y
110010,Y,Y
110011,Y,Y
110012,Y,Y
110013,Y,Y
110014,Y,Y
110015,Y,Y
110016,Y,Y
110017,Y,Y
110018,Y,Y
110019,Y,Y
110020,Y,Y
110021,Y,Y
110022,Y,Y
110023,Y,Y
110024,Y,Y
110025,Y,Y
110026,Y,Y
110027,Y,Y
110028,Y,Y
110029,Y,Y
110030,Y,Y
110031,Y,Y
110032,Y,Y
110033,Y,Y
110034,Y,Y
110035,Y,Y
110036,Y,Y
110037,Y,Y
110038,Y,Y
110039,Y,Y
110040,Y,Y
110041,Y,Y
110042,Y,Y
110043,Y,Y
110044,Y,Y
110045,Y,Y
110046,Y,Y
110047,Y,Y
110048,Y,Y
110049,Y,Y
110050,Y,Y
110051,Y,Y
110052,Y,Y
110053,Y,Y
110054,Y,Y
110055,Y,Y
110056,Y,Y
110057,Y,Y
110058,Y,Y
110059,Y,Y
110060,Y,Y
110061,Y,Y
110062,Y,Y
110063,Y,Y
110064,Y,Y
110065,Y,Y
110066,Y,Y
110067,Y,Y
110068,Y,Y
110069,Y,Y
110070,Y,Y
110071,Y,Y
110072,Y,Y
110073,Y,Y
110074,Y,Y
110075,Y,Y
110076,Y,Y
110077,Y,Y
110078,Y,Y
110079,Y,Y
110080,Y,Y
110081,Y,Y
110082,Y,Y
110083,Y,Y
110084,Y,Y
110085,Y,Y
110086,Y,Y
110087,Y,Y
110088,Y,Y
110089,Y,Y
110090,Y,Y
110091,Y,Y
110092,Y,Y
110093,Y,Y
110094,Y,Y
110095,Y,Y
110096,Y,Y
110097,Y,Y
110098,Y,Y
110099,Y,Y
110100,Y,Y
110101,Y,Y
110102,Y,Y
110103,Y,Y
110105,Y,Y
110106,Y,Y
110108,Y,Y
110109,Y,Y
110110,Y,Y
110112,Y,Y
110114,Y,Y
110116,Y,Y
110117,Y,Y
110119,Y,Y
110120,Y,Y
110121,Y,Y
110124,Y,Y
110125,Y,Y
110301,Y,Y
110401,Y,Y
110403,Y,Y
110503,Y,Y
110506,Y,Y
110509,Y,Y
110512,Y,Y
110603,Y,Y
111112,Y,Y
111120,Y,Y
120001,Y,Y
120002,Y,Y
121000,Y,Y
121001,Y,Y
121002,Y,Y
121003,Y,Y
121004,Y,Y
121005,Y,Y
121006,Y,Y
121007,Y,Y
121008,Y,Y
121009,Y,Y
121010,Y,Y
121011,Y,Y
121012,Y,Y
121013,Y,Y
121014,Y,Y
121015,Y,Y
121101,Y,Y
121102,Y,Y
121103,Y,Y
121104,Y,Y
121105,Y,Y
121106,Y,Y
121107,Y,Y
121705,Y,Y
122000,Y,Y
122001,Y,Y
122002,Y,Y
122003,Y,Y
122004,Y,Y
122005,Y,Y
122006,Y,Y
122007,Y,Y
122008,Y,Y
122009,Y,Y
122010,Y,Y
122011,Y,Y
122012,Y,Y
